task_id,title,language,repository,base_commit_hash,prompt_characters,category,f2p_test_count,p2p_test_count,gold_patch_files,gold_patch_insertions,gold_patch_deletions,gold_patch_changed_lines,total_trials,effective_trials,excluded_trials,error_rate,verifier_timeouts,model_coverage,config_coverage,minimum_effective_repeats,base_model_equal_pass_rate,config_equal_pass_rate,low_model_count,high_model_count,item_rest_correlation_config,item_rest_correlation_base_model,between_config_variance,within_config_mean_variance,discrimination_signal_ratio,v1_pass_rate,v1_1_pass_rate_on_shared_rollouts,v1_to_v1_1_delta,scoring_sensitive,rank_score,difficulty_band,patch_size_band,layer_01_stable,layer_01_exclusion_reasons,layer_02_broad,layer_02_exclusion_reasons,layer_03_core,layer_03_exclusion_reasons
arcane-drift-detection-baselines,Add drift detection and compliance baselines,go,getarcaneapp/arcane,d34a5e2a6c5eb0f0955039775f5b9538424b58ff,5385,feature_request,82,2,14,1083,0,1083,200,199,1,0.005,0,18,50,3,0.57037,0.686667,5,7,0.689608,0.704718,0.120711,0.023981,0.834259,0.6122,0.6,-0.0122,False,0.739281,medium,large,True,[],True,[],True,[]
tengo-callable-instance-isolation,Fix isolated Go-side calls for Tengo callables and closures,go,d5/tengo,3cad0da7a51b1206c6f01e3f4fbb44b976d5275c,1246,bugfix,23,122,4,642,24,666,200,200,0,0.0,0,18,50,4,0.551389,0.595,5,7,0.717593,0.577071,0.154725,0.021562,0.877686,0.5918,0.625,0.0332,False,0.732444,medium,medium,True,[],True,[],True,[]
mobly-grouped-test-barriers,Add grouped test phases with synchronized barriers,python,google/mobly,ec052921917ef201e73cc8e275dc91c5706b345f,2518,feature_request,79,808,3,587,30,617,200,200,0,0.0,0,18,50,4,0.558333,0.61,4,10,0.66915,0.656278,0.1504,0.021875,0.873023,0.65,0.625,-0.025,False,0.728125,medium,medium,True,[],True,[],True,[]
fastapi-deprecation-response-headers,"Add deprecation, sunset, and successor headers to FastAPI routes",python,fastapi/fastapi,11614be9021aa4ac078d4d0693a8b5250a1010d8,2972,feature_request,137,3134,4,784,1,785,200,200,0,0.0,0,18,50,4,0.472917,0.48,7,4,0.649866,0.667384,0.1296,0.03,0.81203,0.5918,0.55,-0.0418,False,0.716275,medium,large,True,[],True,[],True,[]
anko-default-function-arguments,Add default arguments to Anko function parameters,go,mattn/anko,9d2d84bb1564e9513287998c56ccf16c01c19008,874,feature_request,2,119,3,438,4,442,200,200,0,0.0,0,18,50,4,0.603472,0.675,4,7,0.681805,0.634868,0.103125,0.029063,0.780142,0.775,0.75,-0.025,False,0.700863,easy,small,True,[],True,[],True,[]
prometheus-typed-label-sorting,Fix PromQL label sorting across typed and untyped values,go,prometheus/prometheus,8b25b26a7653d9c7444f217a7f2ae9b327bda921,1529,bugfix,17,28,3,805,35,840,200,200,0,0.0,0,18,50,4,0.44375,0.49,7,5,0.615649,0.69302,0.1199,0.0325,0.786745,0.3673,0.475,0.1077,True,0.696396,medium,large,True,[],True,[],True,[]
kombu-single-active-consumer-priority,Add single-active-consumer priority and cancel tracking to virtual transports,python,celery/kombu,3c5c1bd86376ee73d52a4cc770bdaeab15bbc2f3,4265,feature_request,85,1421,6,570,12,582,200,200,0,0.0,0,18,50,4,0.452778,0.55,7,5,0.580297,0.625573,0.1375,0.0275,0.833333,0.65,0.625,-0.025,False,0.674749,medium,medium,True,[],True,[],True,[]
textual-richlog-follow-state,Restore RichLog follow-state parity and expand reflow behavior,python,Textualize/textual,0f0849fd37fbd0d4d6f81889476c22340129df67,1564,feature_request,20,6,3,521,107,628,200,200,0,0.0,0,18,50,4,0.55625,0.64,5,8,0.610313,0.57172,0.1229,0.026875,0.820564,0.625,0.6,-0.025,False,0.670434,medium,medium,True,[],True,[],True,[]
tomlkit-toml-table-converters,Add bidirectional TOML table converters,python,python-poetry/tomlkit,dd05eebc8ed9e30fc6c223088a5a450cb54c1cab,1944,feature_request,60,964,4,597,0,597,200,198,2,0.01,0,18,50,3,0.590278,0.63,5,9,0.587226,0.526663,0.1681,0.01625,0.911852,0.7347,0.75,0.0153,False,0.660232,medium,medium,True,[],True,[],True,[]
cliffy-config-file-parsing,Add config file parsing to Cliffy commands,typescript,c4spar/cliffy,132a437c40cffbdfbe474ca808c8debde59e2633,1973,feature_request,37,451,7,659,206,865,200,200,0,0.0,0,18,50,4,0.45,0.525,7,7,0.584655,0.548498,0.145625,0.025937,0.848816,0.35,0.275,-0.075,False,0.659982,medium,large,True,[],True,[],True,[]
go-critic-doc-link-checker,Add a checker for broken doc comment links,go,go-critic/go-critic,9aea378c4dccd6f4394196ad8f0873b3e84678c8,1873,feature_request,3,16,4,835,0,835,200,200,0,0.0,0,18,50,4,0.465278,0.515,5,4,0.462624,0.24391,0.121025,0.032188,0.789916,0.551,0.5,-0.051,False,0.520197,medium,large,True,[],True,[],True,[]
clack-async-autocomplete-options,Add async autocomplete options and fetch lifecycle handling,typescript,bombshell-dev/clack,8a96e2dcd7f821d1250b58cf71c327679f94de25,3029,feature_request,82,643,4,478,64,542,200,198,2,0.01,0,18,50,3,0.326389,0.35,11,4,0.300562,0.418491,0.11,0.029375,0.789238,0.2051,0.275,0.0699,False,0.463001,hard,small,True,[],True,[],True,[]
